Latitude,Longitude
42.06449,-84.23836
42.06449,-84.23832
42.06449,-84.2383
42.0645,-84.23827
42.0645,-84.23825
42.06449,-84.23824
42.06448,-84.23823
42.06446,-84.23823
42.06445,-84.23822
42.06443,-84.23821
42.06442,-84.2382
42.06441,-84.2382
42.06439,-84.23819
42.06438,-84.23819
42.06437,-84.2382
42.06435,-84.2382
42.06434,-84.2382
42.06432,-84.23821
42.06431,-84.23821
42.06429,-84.23822
42.06428,-84.23822
42.06426,-84.23822
42.06426,-84.23823
42.06424,-84.23824
42.06423,-84.23824
42.06422,-84.23825
42.06421,-84.23825
42.0642,-84.23826
42.06419,-84.23826
42.06417,-84.23826
42.06416,-84.23827
42.06415,-84.23827
42.06415,-84.23828
42.06413,-84.23828
42.06411,-84.23828
42.0641,-84.23829
42.06409,-84.23829
42.06408,-84.23831
42.06408,-84.23831
42.06407,-84.23832
42.06407,-84.23834
42.06406,-84.23836
42.06406,-84.23838
42.06404,-84.23839
42.06402,-84.2384
42.064,-84.23841
42.06398,-84.23842
42.06397,-84.23843
42.06394,-84.23844
42.06393,-84.23844
42.06391,-84.23845
42.06389,-84.23845
42.06388,-84.23845
42.06387,-84.23847
42.06386,-84.23847
42.06384,-84.23848
42.06384,-84.23848
42.06383,-84.2385
42.06384,-84.23852
42.06386,-84.23854
42.06388,-84.23856
42.0639,-84.23859
42.06391,-84.23861
42.06392,-84.23863
42.06391,-84.23864
42.06391,-84.23865
42.0639,-84.23866
42.06388,-84.23867
42.06387,-84.23867
42.06386,-84.23868
42.06385,-84.23869
42.06384,-84.2387
42.06383,-84.23871
42.06383,-84.23873
42.06385,-84.23876
42.06385,-84.23879
42.06386,-84.23881
42.06387,-84.23883
42.06388,-84.23885
42.06388,-84.23887
42.06388,-84.23889
42.06388,-84.2389
42.06387,-84.23891
42.06386,-84.23893
42.06385,-84.23894
42.06384,-84.23895
42.06384,-84.23897
42.06384,-84.23898
42.06383,-84.23899
42.06383,-84.239
42.06383,-84.23902
42.06384,-84.23904
42.06384,-84.23906
42.06385,-84.23908
42.06386,-84.23911
42.06386,-84.23914
42.06387,-84.23916
42.06387,-84.23919
42.06388,-84.23921
42.06389,-84.23924
42.06389,-84.23926
42.0639,-84.23928
42.0639,-84.2393
42.0639,-84.23932
42.0639,-84.23934
42.0639,-84.23937
42.0639,-84.23938
42.06391,-84.23941
42.06391,-84.23943
42.06391,-84.23944
42.06391,-84.23947
42.06392,-84.23949
42.06394,-84.23953
42.06395,-84.23955
42.06397,-84.23957
42.06398,-84.2396
42.06399,-84.23962
42.064,-84.23964
42.064,-84.23967
42.06401,-84.23969
42.06401,-84.23971
42.06401,-84.23973
42.06402,-84.23976
42.06402,-84.23978
42.06403,-84.2398
42.06404,-84.23984
42.06404,-84.23985
42.06406,-84.23988
42.06407,-84.23991
42.06409,-84.23993
42.0641,-84.23995
42.06411,-84.23997
42.06411,-84.23999
42.0641,-84.24001
42.06411,-84.24002
42.06412,-84.24004
42.06412,-84.24006
42.06413,-84.24008
42.06413,-84.2401
42.06414,-84.24012
42.06414,-84.24015
42.06416,-84.24017
42.06417,-84.24019
42.06417,-84.24021
42.06417,-84.24023
42.06418,-84.24025
42.06419,-84.24027
42.0642,-84.24029
42.0642,-84.24032
42.06421,-84.24034
42.06422,-84.24036
42.06422,-84.24037
42.06423,-84.2404
42.06424,-84.24043
42.06426,-84.24045
42.06427,-84.24048
42.06428,-84.24051
42.06429,-84.24054
42.0643,-84.24057
42.0643,-84.24059
42.06431,-84.24062
42.06432,-84.24065
42.06433,-84.24068
42.06433,-84.24071
42.06433,-84.24074
42.06433,-84.24076
42.06434,-84.24078
42.06435,-84.2408
42.06437,-84.24082
42.06438,-84.24083
42.06438,-84.24086
42.06439,-84.24088
42.06441,-84.2409
42.06442,-84.24092
42.06443,-84.24095
42.06443,-84.24096
42.06443,-84.24098
42.06443,-84.241
42.06443,-84.24102
42.06444,-84.24103
42.06444,-84.24105
42.06443,-84.24107
42.06443,-84.24108
42.06443,-84.2411
42.06443,-84.24111
42.06442,-84.24112
42.06442,-84.24114
42.06442,-84.24115
42.06441,-84.24116
42.06441,-84.24117
42.06441,-84.24119
42.06441,-84.2412
42.06441,-84.24121
42.06441,-84.24121
42.06441,-84.24123
42.06442,-84.24124
42.06444,-84.24125
42.06446,-84.24125
42.06448,-84.24125
42.06451,-84.24124
42.06454,-84.24123
42.06457,-84.24121
42.06459,-84.24119
42.0646,-84.24117
42.06461,-84.24115
42.06463,-84.24113
42.06466,-84.24111
42.06468,-84.24108
42.06469,-84.24106
42.06471,-84.24104
42.06473,-84.24101
42.06476,-84.24098
42.06478,-84.24096
42.06481,-84.24094
42.06483,-84.24092
42.06486,-84.24089
42.06488,-84.24088
42.06491,-84.24086
42.06493,-84.24084
42.06496,-84.24083
42.06499,-84.24081
42.06501,-84.24079
42.06501,-84.24079
42.06503,-84.24077
42.06506,-84.24074
42.06508,-84.24071
42.0651,-84.24069
42.06512,-84.24066
42.06515,-84.24064
42.06517,-84.24062
42.0652,-84.24059
42.06522,-84.24057
42.06524,-84.24054
42.06525,-84.24051
42.06527,-84.24048
42.06528,-84.24045
42.0653,-84.24042
42.06531,-84.24039
42.06532,-84.24035
42.06534,-84.24032
42.06535,-84.24028
42.06536,-84.24025
42.06537,-84.24021
42.06539,-84.24019
42.0654,-84.24016
42.06541,-84.24013
42.06543,-84.24009
42.06544,-84.24006
42.06547,-84.24004
42.06548,-84.24001
42.0655,-84.23998
42.06552,-84.23995
42.06553,-84.23992
42.06555,-84.23988
42.06557,-84.23985
42.06559,-84.23983
42.0656,-84.23979
42.06563,-84.23977
42.06566,-84.23974
42.06568,-84.23971
42.0657,-84.2397
42.06574,-84.2397
42.06577,-84.23969
42.0658,-84.23969
42.06584,-84.23971
42.06587,-84.23972
42.0659,-84.23974
42.06594,-84.23976
42.06598,-84.23977
42.06601,-84.23979
42.06605,-84.2398
42.06608,-84.23981
42.06609,-84.23983
42.0661,-84.23986
42.06611,-84.23988
42.06612,-84.2399
42.06613,-84.23992
42.06616,-84.23994
42.06619,-84.23994
42.06622,-84.23996
42.06624,-84.23998
42.06625,-84.24
42.06625,-84.24002
42.06626,-84.24004
42.06627,-84.24005
42.06629,-84.24008
42.06632,-84.24009
42.06635,-84.2401
42.06637,-84.24011
42.06639,-84.24013
42.0664,-84.24015
42.06641,-84.24018
42.06642,-84.2402
42.06642,-84.24022
42.06643,-84.24024
42.06644,-84.24025
42.06645,-84.24027
42.06646,-84.24029
42.06648,-84.24031
42.0665,-84.24033
42.06651,-84.24034
42.06653,-84.24036
42.06656,-84.24036
42.06659,-84.24037
42.06661,-84.24039
42.06662,-84.2404
42.06662,-84.24043
42.06662,-84.24045
42.06662,-84.24047
42.06664,-84.24049
42.06666,-84.24051
42.06669,-84.24053
42.06672,-84.24055
42.06675,-84.24057
42.06678,-84.24057
42.06682,-84.24056
42.06684,-84.24055
42.06688,-84.24054
42.0669,-84.24052
42.06693,-84.2405
42.06696,-84.24049
42.06698,-84.24047
42.06701,-84.24045
42.06703,-84.24042
